rind_Mix,rindMixoos,adjrind_Mix,adjrindMixoos,midMix,midMixoos,bayesPmix,bayesPmixoos,meanBeta1,Mix_beta1_c1,mixEq,zeroInDPM,commonInDPM,zeroInDPM2,commonInDPM2,rind_DPM,rind_DPMoos,adjrind_DPM,adjrind_DPMoos,midDPM,midDPMoos,bayesPDPM,bayesPDPMoos,dpm_beta1_c1,dpmEq,adjrind_K,adjrind_Koos,rind_K,rind_Koos,kmean_MSE,kmean_MSEoos,meanBetakclust1,zeroInk,commonInk,meanBetakclust2,zeroInk2,commonInk2,meanBetaSLR,meanBetaSLR2,zeroInSLR,commonInSLR,zeroInSLR2,commonInSLR2,slrRMSE,ncMix,ncDPM,ncK,N,fractions,variance,interEffect,common,prec,alph,bet,xdiff
0.5595525727069351,0.5627740492170022,0.1691170340517436,0.14884652483155128,5.514262218555501,6.752607364179021,0.4955022488755622,0.4300349825087456,1.9790984933569344,2.0525987401471992,1,true,true,true,true,0.13046979865771813,0.13046979865771813,0.0,0.0,2.8450025951010245,4.321828259690665,0.9980009995002499,0.9980009995002499,-0.0005211294185630445,1,0.3835075466967737,0.43450236330729625,0.8553914988814317,0.8672035794183445,0.9393793179947341,0.8589746413012728,4.299055291520722,false,false,1.4378651013273058,false,true,3.3707056231309345,3.114212136782679,false,false,false,false,0.9893731798732425,2,1,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
0.585413870246085,0.5839821029082775,0.18385588995510058,0.1571026717758484,5.859237079857582,7.005725972935086,0.49275362318840576,0.4745127436281859,2.0799459870764427,1.7233372865349317,1,true,true,true,true,0.13046979865771813,0.13046979865771813,0.0,0.0,2.853817088155769,3.9074833834416425,0.9985007496251874,0.9985007496251874,-0.06296054592899078,1,0.3039614665310682,0.3134354683325926,0.8463534675615213,0.8461744966442953,0.8628074367576135,0.8923474553642837,3.5289385030198215,false,false,4.448971554443298,false,false,3.202275511505911,3.273924911293648,false,false,false,false,0.997467223795202,2,1,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
0.5540939597315436,0.5704697986577181,0.1645106949925989,0.14416831570629263,7.761602914707885,9.336163768928081,0.4782608695652174,0.44427786106946526,2.1079992829730037,1.9527495242952826,1,true,true,true,true,0.5778076062639821,0.5721700223713646,0.1806844729674405,0.1574615030953304,2.411227082080579,4.046605774458521,0.9975012493753124,0.9975012493753124,-3.400872064066037e-7,1,0.3224720504857049,0.2953841560245047,0.8405369127516779,0.8369574944071588,0.8326953701171258,1.0021415810081444,4.999404382993994,false,false,2.0519650477313696,false,true,3.456232734367247,3.0899568984930874,false,false,false,false,0.8989356188074163,2,2,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
0.5763758389261745,0.5877404921700223,0.16214227422357116,0.15796141293834565,6.815487666829797,8.093292816886091,0.48000999500249875,0.5817091454272864,2.3065995426023163,1.9205318195848866,1,true,true,true,true,0.13046979865771813,0.13046979865771813,0.0,0.0,2.830630647691209,4.079394461118307,0.9985007496251874,0.9985007496251874,-0.007763063052049065,1,0.3616498691746645,0.3885936240017603,0.8565548098434005,0.8602237136465324,0.7879695326976636,0.8406432398652296,2.7351256925973115,false,false,2.892589577540224,false,false,3.4786128734834145,3.0539998319557133,false,false,false,false,0.9853172280824863,2,1,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
0.5812975391498881,0.5833557046979866,0.16976816336227998,0.15401559725099942,5.119615296712924,6.604928873836641,0.4827586206896552,0.5294852573713144,1.993505064158926,1.7244966236513344,1,true,true,true,true,0.5814765100671141,0.5749440715883669,0.17417430721979327,0.1519226029037464,2.3037397289527646,3.4524090876945657,0.9980009995002499,0.9980009995002499,0.0007468212269965018,1,0.3461779400689851,0.3230312613094356,0.8521700223713646,0.8447427293064877,0.9896633219381865,0.9538921915845262,2.0935481708671935,false,true,3.8164421211699238,false,false,2.8569418674387714,3.5627829253344956,false,false,false,false,1.0763256683947184,2,2,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
0.5899776286353468,0.6045637583892618,0.18621553077030306,0.16218907554700504,10.396662249278405,11.662328745535754,0.4790104947526237,0.5004997501249375,2.1309144987191595,1.7627550208920355,1,true,true,true,true,0.13046979865771813,0.13046979865771813,0.0,0.0,2.734578624936977,3.8085164460430225,0.999000499750125,0.999000499750125,0.009866266161940349,1,0.3876622027344686,0.2771704179404394,0.8596868008948546,0.8307829977628636,0.8265555129029802,0.8777970418053661,2.5052348829221156,false,true,5.047616636831158,false,false,3.2632527776892046,3.239833181546006,false,false,false,false,0.9381271069475052,2,1,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
0.5912304250559284,0.5969574944071588,0.18781283465991577,0.1577356112203615,9.0281652270665,10.230859975802453,0.47476261869065467,0.5154922538730635,2.048897141775136,1.7079615239218677,1,true,true,true,true,0.5915883668903803,0.577986577181208,0.19001748597816653,0.15870777189673274,2.3204854535391566,3.818663579367571,0.9975012493753124,0.9980009995002499,3.0108670861617508e-6,1,0.29095767039159287,0.31938061562160897,0.839731543624161,0.8492170022371365,0.941909489521662,0.9113889519125766,3.141319942246295,false,false,3.0198031056731325,false,false,2.975866214581068,3.492456425948164,false,false,false,false,1.0087322519419313,2,2,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
0.5786129753914989,0.5829977628635347,0.17425901036426014,0.16172743750868662,5.803999000246124,7.16666835055132,0.47976011994003,0.5502248875562219,2.177995429020224,1.9946067341085083,1,true,true,true,true,0.13046979865771813,0.13046979865771813,0.0,0.0,2.92498712670075,3.9680819816543673,0.9985007496251874,0.9985007496251874,0.002789086979059541,1,0.37960951671287735,0.3798356843278369,0.8567337807606265,0.854407158836689,0.8466551758657146,0.796834623158399,3.654230266411308,false,false,3.132477810128076,false,false,3.0665915376290265,3.4235993836915792,false,false,false,false,0.9803843181884765,2,1,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
0.574317673378076,0.5844295302013423,0.16946308061674661,0.1525582963617251,7.7037798028364195,8.97459970676225,0.49650174912543726,0.47476261869065467,1.9444993513272706,1.9754590740891824,1,true,true,true,true,0.5859507829977628,0.5752125279642059,0.1825114131167332,0.15838506469094144,2.1565873872707653,3.2576758280022804,0.9980009995002499,0.9980009995002499,-0.002519223576658673,1,0.3468459522041018,0.336209308013216,0.8502908277404921,0.8467114093959731,0.8794192402431457,0.9094243972311797,3.408141616877577,false,false,3.2871464177778917,false,false,2.93978966318174,3.58210385217304,false,false,false,false,0.9105883449622345,2,2,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
0.5828187919463087,0.5930201342281879,0.1722529184761749,0.15979925708917714,7.324569477601622,8.687817638934737,0.48550724637681164,0.42653673163418293,2.4671862795105355,1.9473118193770391,1,true,true,true,true,0.5865771812080537,0.5813870246085011,0.1787452559608309,0.16253799960110843,2.129546068737,3.334776027122445,0.9980009995002499,0.9980009995002499,0.0003037110425604452,1,0.3560237294924354,0.35685065423371937,0.8497539149888144,0.8459060402684564,0.8882177510311919,1.0394436267453264,2.9073427290405713,false,false,3.55672181345165,false,false,3.5180376165563856,3.0041512666665366,false,false,false,false,0.9384364150490445,2,2,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
