rind_Mix,rindMixoos,adjrind_Mix,adjrindMixoos,midMix,midMixoos,bayesPmix,bayesPmixoos,meanBeta1,meanBeta2,Mix_beta1_c1,mixEq,zeroInDPM,commonInDPM,zeroInDPM2,commonInDPM2,rind_DPM,rind_DPMoos,adjrind_DPM,adjrind_DPMoos,midDPM,midDPMoos,bayesPDPM,bayesPDPMoos,dpm_beta1_c1,dpmEq,adjrind_K,adjrind_Koos,rind_K,rind_Koos,kmean_MSE,kmean_MSEoos,meanBetakclust1,zeroInk,commonInk,meanBetakclust2,zeroInk2,commonInk2,meanBetaSLR,meanBetaSLR2,zeroInSLR,commonInSLR,zeroInSLR2,commonInSLR2,slrRMSE,ncMix,ncDPM,ncK,N,fractions,variance,interEffect,common,prec,alph,bet,xdiff
0.6793736017897092,0.6748098434004475,0.20498952578186397,0.17194300384627997,2.8797572849150943,7.98358278588297,0.5152423788105946,0.5209895052473763,1.0839659384430893,1.0552551083134418,0.8706778097642476,1,true,true,true,true,0.5809395973154362,0.5788814317673379,0.17258580467510348,0.16092465146560261,0.7858815239028134,1.9182993354182643,0.5007496251874063,0.5409795102448776,2.272606133108769,1,0.4291248488444891,0.37312880692374667,0.8685458612975392,0.8578076062639821,0.4685403845019975,0.48356479005257325,2.0445514454743035,false,false,1.2407783079878578,false,true,1.5863614016323284,1.6627296108263647,false,false,false,false,0.4997421464846399,8,2,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
0.5795973154362416,0.5914093959731543,0.1678385620647166,0.15423487477777367,1.6256797498272633,2.0255103979111166,0.49425287356321834,0.4830084957521239,1.1225054955558331,1.1484026445330537,1.0737987514851142,1,true,true,true,true,0.5785234899328859,0.574765100671141,0.1723054515073762,0.15711116167911246,0.712100852608908,0.9652574358354874,0.4950024987506247,0.49300349825087453,9.149349806291582,1,0.3651165377150921,0.3435379999733533,0.8501118568232662,0.843758389261745,0.4124410077218629,0.4641307596179619,0.9962907127167014,false,true,2.058588171273828,false,false,1.6814437520362444,1.570290701045437,false,false,false,false,0.46291951698047185,2,2,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
0.578434004474273,0.5974944071588367,0.16043818716403532,0.16115052868453222,1.8515330505221688,4.731995941488576,0.47926036981509246,0.5014992503748126,1.137414428383399,1.1965571109521198,0.9356882155869226,1,true,true,true,true,0.5826398210290827,0.5821923937360179,0.1646621898367429,0.1626912870333158,0.7520209783784023,2.314882872883336,0.4695152423788106,0.5004997501249375,0.7886841057705986,1,0.3685523417299761,0.399948376085485,0.8585234899328859,0.8631767337807607,0.4722745631671278,0.47004665686514285,1.3425026465910455,false,true,1.90218131248546,false,false,1.6971219884115112,1.5560956426682582,false,false,false,false,0.48592653053159346,2,2,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
0.701923937360179,0.7080089485458613,0.14490780230859618,0.1190045439064352,3.4362317263498223,6.917734807595359,0.5077461269365318,0.4255372313843079,0.4473300958644728,1.7262951588871207,1.0824722842081198,1,true,true,false,true,0.585682326621924,0.5812080536912752,0.18211645238040983,0.16583002183445986,0.8028353063220856,1.4133881402029653,0.49900049975012495,0.40529735132433786,7.562685844873579,1,0.34092052597985695,0.4010935174858328,0.8500223713646532,0.8640715883668904,0.4994531047191911,0.5058707724012655,1.595238141266509,false,false,1.6606939640321294,false,false,1.5012275746590529,1.7366100769299384,false,false,false,false,0.5051988548836425,10,2,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
0.6785682326621923,0.6841163310961969,0.1655938131833953,0.16217589822589176,1.7386464593661641,4.360590242580327,0.5147426286856571,0.5709645177411294,1.123858653093992,1.186255953433874,0.8455654030754025,1,true,true,true,true,0.5928411633109619,0.592662192393736,0.1617538195607547,0.1650590286849756,0.7439729394871835,0.8015501579227433,0.5357321339330334,0.5302348825587206,17.745169159062804,1,0.2932391214435788,0.29351548504702357,0.8417897091722595,0.8372259507829978,0.47793246078500057,0.4702813720921395,2.3814562069559306,false,false,0.5783558873531415,false,false,1.639738830493651,1.5679211229314753,false,false,false,false,0.546766349231973,4,3,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
0.6719463087248322,0.6821476510067114,0.12572045262612805,0.12137246318270865,2.71902094537537,4.820638757697724,0.4972513743128436,0.6179410294852574,1.2340064615051853,0.9918102136765847,0.7395360377568686,1,true,true,true,true,0.6660402684563759,0.6345413870246085,0.17305707166587564,0.1099928994268111,0.7788260918079605,0.8408716221944623,0.487256371814093,0.5847076461769115,-2.8350901607224097,1,0.3413755486466256,0.3538382572306476,0.8424161073825503,0.8517225950782997,0.41021837161955055,0.4308733520639656,1.665571138920618,false,false,2.0023359627497315,false,false,1.5416113782008034,1.7004268682030221,false,false,false,false,0.5072972246008011,12,4,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
0.6087695749440716,0.6159284116331096,0.19007168528797064,0.1697966083984614,1.9467754671222584,2.344519161035987,0.49700149925037485,0.4740129935032484,1.071263957667928,0.9493674965822444,0.9000840926007887,1,true,true,true,true,0.6261297539149888,0.6118120805369127,0.19206096574133608,0.1722708857095008,1.0020667289638483,3.735376912724652,0.4937531234382808,0.4730134932533733,6.013566317216993,1,0.3393135674874591,0.3046487203996764,0.8530648769574944,0.8442058165548099,0.4955730075545121,0.5170082695023507,1.7989108664862472,false,false,1.5560687519159522,false,false,1.6668752276880545,1.5503734500760311,false,false,false,false,0.5126303858924693,4,4,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
0.6337360178970918,0.6459060402684563,0.17716822604411162,0.15911597586867612,2.9201985530311827,3.9125323676418176,0.46851574212893554,0.5152423788105946,1.2132312157293066,1.2078260243738612,0.888326951833589,1,true,true,true,true,0.5864876957494407,0.5838926174496645,0.17083128120443067,0.16320840393931277,0.7347335889668501,1.1911880818803915,0.4565217391304348,0.5294852573713144,4.273583433433375,1,0.30132281937575267,0.321276065920676,0.8443847874720358,0.8442953020134228,0.49924169475918884,0.4571619237913546,1.8615230919333197,false,false,1.2148959113816737,false,true,1.59766133636771,1.62785059603892,false,false,false,false,0.5287657303145544,7,2,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
0.6224608501118568,0.625503355704698,0.1686180274114262,0.15374981158873044,2.4108732539573454,9.762413200096795,0.48575712143928035,0.6084457771114442,1.084473891171884,1.1254827086493466,0.7824865801582764,1,true,true,true,true,0.5853243847874721,0.5842505592841163,0.1484112319367207,0.14507219932025753,0.7305601883336105,0.7937951962136182,0.47626186906546725,0.6389305347326337,-5.522511554438259,1,0.39911336689007804,0.39816560772999793,0.8611185682326622,0.8612975391498882,0.48933307655541414,0.4852463846096942,1.5158804779958397,false,false,1.418967529670787,false,false,1.5817891765431484,1.6141747567301312,false,false,false,false,0.536881659160414,6,3,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
0.6375838926174496,0.6515436241610738,0.1562990957740943,0.15826490658801015,2.869102553985495,3.731595395905834,0.44602698650674666,0.5614692653673163,1.1469692038522883,1.010738697836651,0.9741620800668354,1,true,true,true,true,0.6340044742729306,0.6350782997762864,0.14086642044713155,0.15273275429078506,0.6776094082924181,0.8538056671188635,0.456271864067966,0.6191904047976012,4.054069873169793,1,0.3496108653663518,0.3100127921451544,0.8533333333333334,0.8457270693512304,0.40395880115536015,0.45979319818205844,1.2976039180282661,false,true,1.4105397863457145,false,false,1.645325453758234,1.6194880540661933,false,false,false,false,0.46292853492527875,9,5,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
